"theme","word","total_tfidf","total_terms"
"Impacts","dependency_ratio",0,57
"Impacts","economic_growth",0,61
"Impacts","elderly_care",0,89
"Impacts","healthcare_cost",0,2
"Impacts","retirement_age",0,45
"Impacts","social_security",0,94
"Reasons","birth_rate",0,16
"Reasons","demographic_shift",0,5
"Reasons","fertility",0,359
"Reasons","life_expectancy",0,314
"Reasons","longevity",0,94
"Reasons","migration",0,117
"Reasons","urbanization",0,44
"Solutions","automation",0,5
"Solutions","pension_reform",0,5
"Solutions","silver_economy",0,1
